Mercado,Produto,Preço Varejo (R$),ICMS (%),ICMS (R$),PIS (%),PIS (R$),COFINS (%),COFINS (R$),IPI (%),IPI (R$),Total Tributos (R$),Preço Líquido (R$)
REIS,Arroz Vasconcelos,29.0,7.00%,2.03,0.165%,0.05,0.76%,0.22,0.00%,0.0,2.3,26.7
REIS,Arroz Barão,31.0,7.00%,2.17,0.165%,0.05,0.76%,0.24,0.00%,0.0,2.46,28.54
REIS,Arroz Brejeiro,23.0,7.00%,1.61,0.165%,0.04,0.76%,0.17,0.00%,0.0,1.82,21.18
REIS,Feijão carioca Cristal,9.0,7.00%,0.63,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.63,8.37
REIS,Feijão carioca Barão,7.0,7.00%,0.49,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.49,6.51
REIS,Feijão carioca Patureba,5.0,7.00%,0.35,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.35,4.65
REIS,Feijão carioca Garotinho,5.0,7.00%,0.35,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.35,4.65
REIS,Feijão preto cristal,12.0,7.00%,0.84,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.84,11.16
REIS,Feijão preto Barão,11.0,7.00%,0.77,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.77,10.23
REIS,Feijão preto Dona de,8.0,7.00%,0.56,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.56,7.44
REIS,Óleo soja comigo,7.0,7.00%,0.49,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.14,5.86
REIS,Óleo soja brasileiro,7.0,7.00%,0.49,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.14,5.86
REIS,Óleo soja concórdia,7.0,7.00%,0.49,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.14,5.86
REIS,Farinha de trigo cristal,4.0,7.00%,0.28,0.165%,0.01,0.76%,0.03,0.00%,0.0,0.32,3.68
REIS,Farinha de trigo sotrigo,4.0,7.00%,0.28,0.165%,0.01,0.76%,0.03,0.00%,0.0,0.32,3.68
REIS,Farinha de trigo cristal emegê,4.0,7.00%,0.28,0.165%,0.01,0.76%,0.03,0.00%,0.0,0.32,3.68
REIS,Farinha de trigo Araguaia,3.0,7.00%,0.21,0.165%,0.0,0.76%,0.02,0.00%,0.0,0.24,2.76
REIS,Macarrão parafuso 500g Califórn,4.0,7.00%,0.28,1.650%,0.07,7.60%,0.3,0.00%,0.0,0.65,3.35
REIS,Macarrão parafuso emegê,4.0,7.00%,0.28,1.650%,0.07,7.60%,0.3,0.00%,0.0,0.65,3.35
REIS,Macarrão espaguete 1kg cristal,9.0,7.00%,0.63,1.650%,0.15,7.60%,0.68,0.00%,0.0,1.46,7.54
REIS,Macarrão espaguete Califórnia,8.0,7.00%,0.56,1.650%,0.13,7.60%,0.61,0.00%,0.0,1.3,6.7
REIS,Sazón,5.0,19.00%,0.95,1.650%,0.08,7.60%,0.38,0.00%,0.0,1.41,3.59
REIS,Orégano,2.0,19.00%,0.38,1.650%,0.03,7.60%,0.15,0.00%,0.0,0.57,1.44
REIS,Chimichurri,2.0,19.00%,0.38,1.650%,0.03,7.60%,0.15,0.00%,0.0,0.57,1.44
REIS,Açafrão,3.0,19.00%,0.57,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.85,2.15
REIS,Canela,2.0,19.00%,0.38,1.650%,0.03,7.60%,0.15,0.00%,0.0,0.57,1.44
REIS,Extrato goiali,2.0,19.00%,0.38,1.650%,0.03,7.60%,0.15,0.00%,0.0,0.57,1.44
REIS,Extrato Fugini,2.0,19.00%,0.38,1.650%,0.03,7.60%,0.15,0.00%,0.0,0.57,1.44
REIS,Extrato Dez,2.0,19.00%,0.38,1.650%,0.03,7.60%,0.15,0.00%,0.0,0.57,1.44
REIS,Bolacha rosquinha Mabel,9.0,19.00%,1.71,1.650%,0.15,7.60%,0.68,0.00%,0.0,2.54,6.46
REIS,Bolacha rosquinha adoralle,8.0,19.00%,1.52,1.650%,0.13,7.60%,0.61,0.00%,0.0,2.26,5.74
REIS,Bolacha rosquinha rancheiro,8.0,19.00%,1.52,1.650%,0.13,7.60%,0.61,0.00%,0.0,2.26,5.74
REIS,Bolacha rosquinha belma,8.0,19.00%,1.52,1.650%,0.13,7.60%,0.61,0.00%,0.0,2.26,5.74
REIS,Bolacha cream crack Mabel,9.0,19.00%,1.71,1.650%,0.15,7.60%,0.68,0.00%,0.0,2.54,6.46
REIS,Bolacha cream crack adoralle,7.0,19.00%,1.33,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.98,5.02
